team,split_games,points_for,points_against,off_poss,def_poss,opp_mean_off_rating,opp_mean_def_rating,opp_mean_net_rating,split_type,bucket,bucket_is_gt_115,split_off_rating,split_def_rating,split_net_rating,games,base_off_rating,base_def_rating,base_net_rating,split_game_share
OKC,37,4516,3941,3780.0,3781.0,114.02662329248525,118.38618320971162,-4.359559917226363,opp_def_rating,opp_gt_115,1,119.47089947089947,104.23168473948692,15.239214731412545,82,117.66124171187462,106.57831325301206,11.082928458862568,0.45121951219512196
ORL,33,3935,3713,3361.0,3362.0,112.88807685795877,118.71753236171384,-5.829455503755071,opp_def_rating,opp_gt_115,1,117.07825052067837,110.44021415823914,6.638036362439223,82,114.21179302045728,113.61338468945594,0.5984083310013375,0.4024390243902439
PHI,35,4262,3990,3543.0,3552.0,112.7706068774592,118.80588565991366,-6.035278782454455,opp_def_rating,opp_gt_115,1,120.29353655094552,112.33108108108108,7.962455469864437,82,114.59237819585142,114.7317661241712,-0.13938792831977764,0.4268292682926829
PHX,39,4553,4287,3848.0,3843.0,113.97207877999615,118.32621718341488,-4.354138403418721,opp_def_rating,opp_gt_115,1,118.32120582120582,111.55347384855581,6.767731972650012,82,114.2150191760485,112.85608124845182,1.3589379275966849,0.47560975609756095
POR,40,4806,4601,4049.0,4039.0,113.864020481055,118.41083197075659,-4.546811489701595,opp_def_rating,opp_gt_115,1,118.6959743146456,113.91433523149294,4.781639083152655,82,113.85114825057113,114.26336061627347,-0.4122123657023451,0.4878048780487805
SAC,36,4057,4326,3626.0,3629.0,114.33513500338432,118.14150762720897,-3.8063726238246383,opp_def_rating,opp_gt_115,1,111.88637617209045,119.20639294571507,-7.320016773624616,82,110.55508320174906,120.28124621166202,-9.726163009912966,0.43902439024390244
SAS,39,4841,4418,3964.0,3970.0,113.9715013593184,118.30003121485613,-4.328529855537748,opp_def_rating,opp_gt_115,1,122.12411705348134,111.28463476070529,10.839482292776054,82,118.82936267988875,110.47354433438028,8.355818345508467,0.47560975609756095
TOR,34,4013,3755,3413.0,3409.0,112.8619201404841,118.72792554771821,-5.86600540723413,opp_def_rating,opp_gt_115,1,117.57984178142398,110.14960398943971,7.430237791984268,82,114.95658554482084,112.10564930300808,2.850936241812761,0.4146341463414634
UTA,36,4371,4438,3760.0,3760.0,113.93867979369394,118.09337212334081,-4.154692329646874,opp_def_rating,opp_gt_115,1,116.25000000000001,118.03191489361701,-1.7819148936169995,82,112.9701230228471,121.15136592801032,-8.181242905163217,0.43902439024390244
WAS,31,3492,3656,3174.0,3175.0,113.1712069991168,118.46386710318532,-5.292660104068511,opp_def_rating,opp_gt_115,1,110.01890359168243,115.1496062992126,-5.130702707530176,82,109.66595593461265,121.45652947455818,-11.790573539945527,0.3780487804878049
ATL,49,5653,5777,5060.0,5055.0,116.66344365746166,112.5722161896062,4.091227467855443,opp_def_rating,opp_lte_115,0,111.71936758893281,114.28288822947576,-2.563520640542947,82,115.12206684048351,112.94955489614242,2.172511944341096,0.5975609756097561
BKN,50,5139,5900,4895.0,4907.0,116.57897775120044,112.5036933400125,4.075284411187938,opp_def_rating,opp_lte_115,0,104.98467824310521,120.23639698390053,-15.251718740795326,82,109.50579929399899,119.65005035246728,-10.144251058468285,0.6097560975609756
BOS,48,5366,5232,4586.0,4591.0,116.23095612432944,112.6173098934696,3.6136462308598385,opp_def_rating,opp_lte_115,0,117.0082860880942,113.96209976040079,3.0461863276934054,82,119.97452229299364,111.72282263191353,8.25169966108011,0.5853658536585366
CHA,47,5277,5251,4590.0,4588.0,116.3861362787409,112.57168017218297,3.814456106557953,opp_def_rating,opp_lte_115,0,114.9673202614379,114.45074106364427,0.5165791977936323,82,118.40926064227035,113.48020911127708,4.929051530993277,0.573170731707317
CHI,50,5695,6100,5171.0,5162.0,116.62063086377728,112.57280905511719,4.047821808660093,opp_def_rating,opp_lte_115,0,110.13343647263585,118.17125145292522,-8.037814980289369,82,112.12085586644722,117.41692198915861,-5.2960661227113945,0.6097560975609756
CLE,47,5493,5471,4748.0,4753.0,116.36022318331737,112.4982309829332,3.8619922003841864,opp_def_rating,opp_lte_115,0,115.69081718618366,115.10624868504102,0.5845685011426411,82,118.28385228095584,114.14787118562298,4.135981095332866,0.573170731707317
DAL,44,4904,5267,4528.0,4528.0,116.53210037228475,112.4085441208903,4.123556251394434,opp_def_rating,opp_lte_115,0,108.30388692579504,116.32067137809187,-8.016784452296832,82,111.72397325692454,116.95278969957081,-5.228816442646277,0.5365853658536586
DEN,47,5697,5526,4747.0,4751.0,116.44399107125093,112.36758443959074,4.0764066316601815,opp_def_rating,opp_lte_115,0,120.01263956182852,116.3123552936224,3.7002842682061186,82,121.2011139363119,116.02129719264278,5.179816743669122,0.573170731707317
DET,46,5287,5028,4606.0,4617.0,116.48932317856735,112.88920502321007,3.600118155357268,opp_def_rating,opp_lte_115,0,114.78506296135475,108.90188434048082,5.8831786208739345,82,117.32474790426437,108.9058524173028,8.418895486961574,0.5609756097560976
GSW,43,4831,5016,4326.0,4328.0,116.60036873611094,112.1898924921758,4.410476243935141,opp_def_rating,opp_lte_115,0,111.67360147942674,115.89648798521257,-4.222886505785837,82,113.9427740058196,114.45885347230637,-0.5160794664867723,0.524390243902439
HOU,41,4615,4467,4013.0,4013.0,116.30267891676075,112.45474269563744,3.8479362211233075,opp_def_rating,opp_lte_115,0,115.00124595066035,111.31323199601295,3.6880139546474027,82,117.49564784879382,112.13175885643255,5.363888992361268,0.5
IND,51,5693,6208,5167.0,5164.0,116.67686144397577,112.54633710590946,4.130524338066313,opp_def_rating,opp_lte_115,0,110.17998838784595,120.21688613477923,-10.036897746933278,82,110.75204228736185,118.6066066066066,-7.8545643192447585,0.6219512195121951
LAC,46,5097,5172,4437.0,4435.0,116.31721728550171,112.54523244177881,3.7719848437229175,opp_def_rating,opp_lte_115,0,114.87491548343476,116.61781285231116,-1.742897368876399,82,116.33620152138671,115.20518897343146,1.131012547955251,0.5609756097560976
LAL,46,5126,5308,4524.0,4505.0,116.36662316905965,112.3189046619115,4.047718507148136,opp_def_rating,opp_lte_115,0,113.30680813439433,117.82463928967815,-4.517831155283815,82,118.46516826027566,116.9529499626587,1.512218297616954,0.5609756097560976
MEM,45,5012,5537,4582.0,4578.0,116.47252365846889,112.44976226523215,4.022761393236728,opp_def_rating,opp_lte_115,0,109.38454823221299,120.94801223241589,-11.563464000202899,82,112.40884638374177,118.44404548174745,-6.035199098005677,0.5487804878048781
MIA,49,5768,5891,5071.0,5056.0,116.62609291318617,112.55570524413513,4.0703876690510326,opp_def_rating,opp_lte_115,0,113.7448235062118,116.51503164556962,-2.7702081393578197,82,115.82330255930817,113.72411372411374,2.0991888351944397,0.5975609756097561
MIL,50,5431,5946,4897.0,4909.0,116.6367968831461,112.55099519131123,4.0858016918348845,opp_def_rating,opp_lte_115,0,110.90463549111702,121.12446526787532,-10.219829776758303,82,113.52771868351897,119.68769519050593,-6.159976506986965,0.6097560975609756
MIN,41,4699,4697,4153.0,4154.0,116.2975107931947,112.26769698833704,4.029813804857655,opp_def_rating,opp_lte_115,0,113.14712256200336,113.07173808377466,0.07538447822869898,82,117.08615682478218,113.92389723703344,3.1622595877487356,0.5
NOP,46,5165,5560,4536.0,4545.0,116.42344747406844,112.4585952866065,3.964852187461944,opp_def_rating,opp_lte_115,0,113.8668430335097,122.33223322332233,-8.465390189812638,82,114.74079457364341,119.16696936675142,-4.426174793108004,0.5609756097560976
NYK,48,5424,5322,4672.0,4670.0,116.3579720133395,112.64581010774481,3.712161905594691,opp_def_rating,opp_lte_115,0,116.09589041095892,113.96145610278371,2.1344343081752015,82,118.68008948545861,112.31343283582089,6.366656649637719,0.5853658536585366
OKC,45,5244,4905,4515.0,4519.0,116.26636370409973,112.86704808052374,3.3993156235759745,opp_def_rating,opp_lte_115,0,116.14617940199336,108.54171276831157,7.604466633681795,82,117.66124171187462,106.57831325301206,11.082928458862568,0.5487804878048781
ORL,49,5556,5726,4949.0,4946.0,116.83886250611879,112.50170214796337,4.337160358155407,opp_def_rating,opp_lte_115,0,112.26510406142656,115.77031945006067,-3.505215388634113,82,114.21179302045728,113.61338468945594,0.5984083310013375,0.5975609756097561
PHI,47,5240,5527,4749.0,4743.0,116.78432397994834,112.34905263169283,4.435271348255508,opp_def_rating,opp_lte_115,0,110.33901874078754,116.52962260172886,-6.190603860941323,82,114.59237819585142,114.7317661241712,-0.13938792831977764,0.573170731707317
PHX,43,4679,4825,4235.0,4231.0,116.67317347574814,112.118587914305,4.554585561443132,opp_def_rating,opp_lte_115,0,110.4840613931523,114.03923422358781,-3.5551728304355095,82,114.2150191760485,112.85608124845182,1.3589379275966849,0.524390243902439
POR,42,4663,4892,4268.0,4269.0,116.63413392063383,112.23213052050694,4.402003400126892,opp_def_rating,opp_lte_115,0,109.25492033739457,114.59358163504334,-5.33866129764877,82,113.85114825057113,114.26336061627347,-0.4122123657023451,0.5121951219512195
SAC,46,5045,5596,4607.0,4620.0,116.31721728550171,112.54523244177881,3.7719848437229175,opp_def_rating,opp_lte_115,0,109.50727154330366,121.12554112554112,-11.61826958223746,82,110.55508320174906,120.28124621166202,-9.726163009912966,0.5609756097560976
SAS,43,4985,4727,4305.0,4308.0,116.24393221957695,112.34021925514887,3.9037129644280824,opp_def_rating,opp_lte_115,0,115.79558652729385,109.72609099350046,6.069495533793386,82,118.82936267988875,110.47354433438028,8.355818345508467,0.524390243902439
TOR,48,5387,5413,4764.0,4769.0,116.76480104507316,112.65362443838545,4.111176606687702,opp_def_rating,opp_lte_115,0,113.07724601175482,113.50387921996226,-0.4266332082074342,82,114.95658554482084,112.10564930300808,2.850936241812761,0.5853658536585366
UTA,46,5271,5895,4775.0,4769.0,116.39213516671533,112.40875922448664,3.983375942228698,opp_def_rating,opp_lte_115,0,110.38743455497382,123.6108198783812,-13.223385323407385,82,112.9701230228471,121.15136592801032,-8.181242905163217,0.5609756097560976
WAS,51,5766,6584,5268.0,5256.0,116.5110960537204,112.6276145282422,3.8834815254782007,opp_def_rating,opp_lte_115,0,109.45330296127563,125.26636225266363,-15.813059291388,82,109.66595593461265,121.45652947455818,-11.790573539945527,0.6219512195121951
ATL,37,4183,4389,3754.0,3752.0,118.09331883086953,112.63345065966392,5.459868171205594,opp_off_rating,opp_gt_115,1,111.42781033564198,116.9776119402985,-5.549801604656523,82,115.12206684048351,112.94955489614242,2.172511944341096,0.45121951219512196
BKN,39,4012,4665,3812.0,3819.0,117.84883943864182,112.56915725146006,5.279682187181756,opp_off_rating,opp_gt_115,1,105.24658971668414,122.15239591516102,-16.90580619847688,82,109.50579929399899,119.65005035246728,-10.144251058468285,0.47560975609756095
BOS,36,4012,3947,3420.0,3422.0,117.55638754151012,112.69527655565007,4.861110985860069,opp_off_rating,opp_gt_115,1,117.30994152046783,115.34190531852717,1.968036201940663,82,119.97452229299364,111.72282263191353,8.25169966108011,0.43902439024390244
CHA,36,4006,4083,3486.0,3489.0,117.71346780064518,112.6944393148231,5.019028485822063,opp_off_rating,opp_gt_115,1,114.91681009753299,117.02493551160791,-2.1081254140749195,82,118.40926064227035,113.48020911127708,4.929051530993277,0.43902439024390244
CHI,40,4639,4945,4121.0,4112.0,117.8381141114022,112.6719237324975,5.166190378904696,opp_off_rating,opp_gt_115,1,112.5697646202378,120.25778210116731,-7.688017480929503,82,112.12085586644722,117.41692198915861,-5.2960661227113945,0.4878048780487805
CLE,36,4216,4182,3641.0,3647.0,117.68975368575805,112.52559962827029,5.164154057487772,opp_off_rating,opp_gt_115,1,115.79236473496293,114.66959144502331,1.122773289939616,82,118.28385228095584,114.14787118562298,4.135981095332866,0.43902439024390244
DAL,41,4596,4940,4092.0,4095.0,117.99692715689876,113.00139511194487,4.99553204495388,opp_off_rating,opp_gt_115,1,112.31671554252199,120.63492063492063,-8.318205092398642,82,111.72397325692454,116.95278969957081,-5.228816442646277,0.5
DEN,36,4277,4277,3636.0,3632.0,117.66470637827258,112.31644958711362,5.3482567911589705,opp_off_rating,opp_gt_115,1,117.62926292629263,117.75881057268722,-0.12954764639459881,82,121.2011139363119,116.02129719264278,5.179816743669122,0.43902439024390244
DET,35,3993,3832,3489.0,3504.0,117.89741455101344,113.0402331853581,4.857181365655353,opp_off_rating,opp_gt_115,1,114.44539982803094,109.36073059360731,5.084669234423629,82,117.32474790426437,108.9058524173028,8.418895486961574,0.4268292682926829
GSW,41,4519,4748,4075.0,4077.0,118.00096603160806,112.86594521917853,5.135020812429521,opp_off_rating,opp_gt_115,1,110.8957055214724,116.45818003433897,-5.562474512866572,82,113.9427740058196,114.45885347230637,-0.5160794664867723,0.5
HOU,35,3857,3875,3397.0,3393.0,118.06685991293187,112.96152334183765,5.105336571094237,opp_off_rating,opp_gt_115,1,113.5413600235502,114.20571765399352,-0.6643576304433196,82,117.49564784879382,112.13175885643255,5.363888992361268,0.4268292682926829
IND,40,4554,4928,4111.0,4108.0,117.94189460474433,112.62189145519251,5.320003149551838,opp_off_rating,opp_gt_115,1,110.7759669180248,119.96105160662123,-9.185084688596419,82,110.75204228736185,118.6066066066066,-7.8545643192447585,0.4878048780487805
LAC,35,3925,4026,3397.0,3397.0,118.07139230660289,112.73547434768545,5.335917958917442,opp_off_rating,opp_gt_115,1,115.54312628790109,118.51633794524581,-2.97321165734472,82,116.33620152138671,115.20518897343146,1.131012547955251,0.4268292682926829
LAL,35,3903,4117,3451.0,3436.0,117.88261895696381,112.2784788487431,5.6041401082207045,opp_off_rating,opp_gt_115,1,113.09765285424515,119.8195576251455,-6.721904770900352,82,118.46516826027566,116.9529499626587,1.512218297616954,0.4268292682926829
MEM,40,4469,4870,4037.0,4033.0,117.98522112931433,112.90260624067703,5.082614888637303,opp_off_rating,opp_gt_115,1,110.70101560564775,120.75378130424002,-10.052765698592268,82,112.40884638374177,118.44404548174745,-6.035199098005677,0.4878048780487805
MIA,37,4493,4511,3830.0,3824.0,118.05414041751536,112.64181133822159,5.412329079293776,opp_off_rating,opp_gt_115,1,117.31070496083551,117.96548117154812,-0.6547762107126118,82,115.82330255930817,113.72411372411374,2.0991888351944397,0.45121951219512196
MIL,39,4217,4586,3792.0,3802.0,117.92296653087986,112.62980065056101,5.293165880318867,opp_off_rating,opp_gt_115,1,111.20780590717298,120.62072593371909,-9.412920026546104,82,113.52771868351897,119.68769519050593,-6.159976506986965,0.47560975609756095
MIN,35,4012,4080,3514.0,3520.0,118.06858425876105,112.69661916403275,5.371965094728286,opp_off_rating,opp_gt_115,1,114.17188389299943,115.90909090909092,-1.7372070160914888,82,117.08615682478218,113.92389723703344,3.1622595877487356,0.4268292682926829
NOP,40,4466,4868,3940.0,3942.0,117.91682248741343,112.92589755992742,4.990924927485999,opp_off_rating,opp_gt_115,1,113.3502538071066,123.49061390157281,-10.140360094466217,82,114.74079457364341,119.16696936675142,-4.426174793108004,0.4878048780487805
NYK,35,3954,3939,3415.0,3413.0,117.8048608177722,112.75120905673155,5.053651761040647,opp_off_rating,opp_gt_115,1,115.78330893118593,115.41166129504833,0.3716476361375953,82,118.68008948545861,112.31343283582089,6.366656649637719,0.4268292682926829
OKC,37,4318,4085,3722.0,3724.0,118.1050757191063,113.41780692797892,4.687268791127386,opp_off_rating,opp_gt_115,1,116.01289629231597,109.6938775510204,6.319018741295565,82,117.66124171187462,106.57831325301206,11.082928458862568,0.45121951219512196
ORL,43,4902,5019,4327.0,4317.0,117.7777780499738,112.68077768725743,5.0970003627163605,opp_off_rating,opp_gt_115,1,113.28865264617518,116.26129256428075,-2.972639918105571,82,114.21179302045728,113.61338468945594,0.5984083310013375,0.524390243902439
PHI,40,4449,4761,4042.0,4043.0,117.85971475969966,112.60862509981413,5.251089659885534,opp_off_rating,opp_gt_115,1,110.06927263730826,117.75908978481327,-7.6898171475050106,82,114.59237819585142,114.7317661241712,-0.13938792831977764,0.4878048780487805
PHX,42,4575,4780,4086.0,4084.0,117.93748557989953,112.69575194354158,5.241733636357935,opp_off_rating,opp_gt_115,1,111.9676945668135,117.04211557296769,-5.074421006154182,82,114.2150191760485,112.85608124845182,1.3589379275966849,0.5121951219512195
POR,40,4430,4693,4055.0,4053.0,117.95601810511398,112.80522546364281,5.1507926414711545,opp_off_rating,opp_gt_115,1,109.2478421701603,115.7907722674562,-6.542930097295908,82,113.85114825057113,114.26336061627347,-0.4122123657023451,0.4878048780487805
SAC,40,4395,4923,4015.0,4023.0,117.97611626882401,113.06459138138398,4.911524887440015,opp_off_rating,opp_gt_115,1,109.46450809464507,122.37136465324386,-12.90685655859879,82,110.55508320174906,120.28124621166202,-9.726163009912966,0.4878048780487805
SAS,37,4388,4194,3731.0,3730.0,117.95828885921283,112.84298817696698,5.115300682245847,opp_off_rating,opp_gt_115,1,117.60922004824444,112.4396782841823,5.1695417640621315,82,118.82936267988875,110.47354433438028,8.355818345508467,0.45121951219512196
TOR,41,4467,4613,4031.0,4035.0,117.84616202170254,112.70265941611832,5.143502605584203,opp_off_rating,opp_gt_115,1,110.8161746464897,114.32465923172244,-3.508484585232736,82,114.95658554482084,112.10564930300808,2.850936241812761,0.5
UTA,40,4571,5125,4135.0,4131.0,118.00924227358621,112.84891948837351,5.160322785212697,opp_off_rating,opp_gt_115,1,110.5441354292624,124.06197046719922,-13.51783503793682,82,112.9701230228471,121.15136592801032,-8.181242905163217,0.4878048780487805
WAS,40,4457,5152,4091.0,4086.0,117.74916354527781,112.68782678400555,5.0613367612722815,opp_off_rating,opp_gt_115,1,108.94646785626986,126.08908467939305,-17.14261682312319,82,109.66595593461265,121.45652947455818,-11.790573539945527,0.4878048780487805
ATL,45,5531,5127,4684.0,4673.0,112.66105382696975,117.07805811517785,-4.4170042882080995,opp_off_rating,opp_lte_115,0,118.08283518360376,109.71538626150226,8.367448922101502,82,115.12206684048351,112.94955489614242,2.172511944341096,0.5487804878048781
BKN,43,4674,4840,4120.0,4125.0,112.90430185637386,116.98503339448636,-4.080731538112496,opp_off_rating,opp_lte_115,0,113.44660194174759,117.33333333333333,-3.886731391585741,82,109.50579929399899,119.65005035246728,-10.144251058468285,0.524390243902439
BOS,46,5406,4840,4430.0,4443.0,112.70350494021538,117.07283451099038,-4.369329570775014,opp_off_rating,opp_lte_115,0,122.03160270880362,108.93540400630204,13.096198702501582,82,119.97452229299364,111.72282263191353,8.25169966108011,0.5609756097560976
CHA,46,5507,5034,4548.0,4545.0,112.65325786002428,117.17047874983992,-4.517220889815642,opp_off_rating,opp_lte_115,0,121.08619173262973,110.75907590759076,10.327115825038973,82,118.40926064227035,113.48020911127708,4.929051530993277,0.5609756097560976
