season,team,4th quarter net rating
2016-17,Indiana Pacers,-2.8
2016-17,LA Clippers,-1.4
2016-17,Los Angeles Lakers,-2.9
2016-17,Memphis Grizzlies,2.6
2016-17,Miami Heat,3.5
2016-17,Milwaukee Bucks,0.8
2016-17,Minnesota Timberwolves,-7.2
2016-17,New Orleans Pelicans,-3.3
2016-17,New York Knicks,2.2
2016-17,Oklahoma City Thunder,2.2
2016-17,Orlando Magic,-8.9
2016-17,Philadelphia 76ers,-5.9
2016-17,Phoenix Suns,-7.9
2016-17,Portland Trail Blazers,2.0
2016-17,Sacramento Kings,0.8
2016-17,San Antonio Spurs,4.8
2016-17,Toronto Raptors,13.4
2016-17,Utah Jazz,11.6
2016-17,Washington Wizards,4.2
2017-18,Atlanta Hawks,0.2
2017-18,Boston Celtics,5.9
2017-18,Brooklyn Nets,-4.9
2017-18,Charlotte Hornets,-1.6
2017-18,Chicago Bulls,-4.5
2017-18,Cleveland Cavaliers,4.2
2017-18,Dallas Mavericks,-4.0
2017-18,Denver Nuggets,-2.6
2017-18,Detroit Pistons,3.2
2017-18,Golden State Warriors,2.8
2017-18,Houston Rockets,1.3
2017-18,Indiana Pacers,0.3
2017-18,LA Clippers,6.9
2017-18,Los Angeles Lakers,-1.5
2017-18,Memphis Grizzlies,-6.6
2017-18,Miami Heat,2.6
2017-18,Milwaukee Bucks,-4.6
2017-18,Minnesota Timberwolves,-1.5
2017-18,New Orleans Pelicans,1.8
2017-18,New York Knicks,-5.9
2017-18,Oklahoma City Thunder,6.5
2017-18,Orlando Magic,-0.9
2017-18,Philadelphia 76ers,-4.7
2017-18,Phoenix Suns,-2.6
2017-18,Portland Trail Blazers,-2.9
2017-18,Sacramento Kings,-4.6
2017-18,San Antonio Spurs,6.5
2017-18,Toronto Raptors,8.1
2017-18,Utah Jazz,8.4
2017-18,Washington Wizards,-4.8
2018-19,Atlanta Hawks,-1.1
2018-19,Boston Celtics,6.9
2018-19,Brooklyn Nets,-2.3
2018-19,Charlotte Hornets,-2.9
2018-19,Chicago Bulls,-5.6
2018-19,Cleveland Cavaliers,-7.5
2018-19,Dallas Mavericks,1.1
2018-19,Denver Nuggets,5.1
2018-19,Detroit Pistons,3.0
2018-19,Golden State Warriors,1.7
2018-19,Houston Rockets,2.8
2018-19,Indiana Pacers,2.2
2018-19,LA Clippers,4.5
2018-19,Los Angeles Lakers,-4.6
2018-19,Memphis Grizzlies,-7.0
2018-19,Miami Heat,-4.0
2018-19,Milwaukee Bucks,8.4
2018-19,Minnesota Timberwolves,-5.3
2018-19,New Orleans Pelicans,3.5
2018-19,New York Knicks,-3.5
2018-19,Oklahoma City Thunder,2.4
2018-19,Orlando Magic,-1.1
2018-19,Philadelphia 76ers,2.5
2018-19,Phoenix Suns,-8.1
2018-19,Portland Trail Blazers,-1.7
2018-19,Sacramento Kings,-0.0
2018-19,San Antonio Spurs,2.5
2018-19,Toronto Raptors,-1.3
2018-19,Utah Jazz,4.1
2018-19,Washington Wizards,4.5
2019-20,Atlanta Hawks,-6.2
2019-20,Boston Celtics,3.8
2019-20,Brooklyn Nets,-5.7
2019-20,Charlotte Hornets,-8.0
2019-20,Chicago Bulls,-5.0
2019-20,Cleveland Cavaliers,-0.8
2019-20,Dallas Mavericks,1.9
2019-20,Denver Nuggets,0.6
2019-20,Detroit Pistons,-1.0
2019-20,Golden State Warriors,-0.5
2019-20,Houston Rockets,-1.3
2019-20,Indiana Pacers,-1.4
2019-20,LA Clippers,3.3
2019-20,Los Angeles Lakers,6.7
2019-20,Memphis Grizzlies,-2.3
2019-20,Miami Heat,-4.4
2019-20,Milwaukee Bucks,9.4
2019-20,Minnesota Timberwolves,-2.2
2019-20,New Orleans Pelicans,1.3
2019-20,New York Knicks,-3.3
2019-20,Oklahoma City Thunder,8.8
2019-20,Orlando Magic,-1.2
2019-20,Philadelphia 76ers,-0.0
2019-20,Phoenix Suns,-0.9
2019-20,Portland Trail Blazers,3.6
2019-20,Sacramento Kings,-1.0
2019-20,San Antonio Spurs,-3.1
2019-20,Toronto Raptors,6.5
2019-20,Utah Jazz,-0.4
2019-20,Washington Wizards,-0.3
2020-21,Atlanta Hawks,3.1
2020-21,Boston Celtics,1.9
2020-21,Brooklyn Nets,6.2
2020-21,Charlotte Hornets,0.5
2020-21,Chicago Bulls,-5.2
2020-21,Cleveland Cavaliers,-7.7
2020-21,Dallas Mavericks,-1.2
2020-21,Denver Nuggets,1.9
2020-21,Detroit Pistons,-0.8
2020-21,Golden State Warriors,0.7
2020-21,Houston Rockets,-6.0
2020-21,Indiana Pacers,-1.0
2020-21,LA Clippers,5.7
2020-21,Los Angeles Lakers,4.7
2020-21,Memphis Grizzlies,-1.0
2020-21,Miami Heat,-4.2
2020-21,Milwaukee Bucks,-0.8
2020-21,Minnesota Timberwolves,1.1
2020-21,New Orleans Pelicans,2.1
2020-21,New York Knicks,-1.2
2020-21,Oklahoma City Thunder,-4.9
2020-21,Orlando Magic,-7.2
2020-21,Philadelphia 76ers,6.8
2020-21,Phoenix Suns,2.9
2020-21,Portland Trail Blazers,2.3
2020-21,Sacramento Kings,-4.5
2020-21,San Antonio Spurs,-2.0
2020-21,Toronto Raptors,3.1
2020-21,Utah Jazz,5.8
2020-21,Washington Wizards,-0.7
2021-22,Atlanta Hawks,-5.1
2021-22,Boston Celtics,0.6
2021-22,Brooklyn Nets,0.3
2021-22,Charlotte Hornets,4.9
2021-22,Chicago Bulls,3.7
2021-22,Cleveland Cavaliers,-2.6
2021-22,Dallas Mavericks,-0.2
2021-22,Denver Nuggets,-8.9
2021-22,Detroit Pistons,-7.0
2021-22,Golden State Warriors,8.0
2021-22,Houston Rockets,-4.1
2021-22,Indiana Pacers,-1.8
2021-22,LA Clippers,5.8
2021-22,Los Angeles Lakers,0.4
2021-22,Memphis Grizzlies,0.2
2021-22,Miami Heat,3.3
2021-22,Milwaukee Bucks,5.0
2021-22,Minnesota Timberwolves,-3.7
2021-22,New Orleans Pelicans,1.3
2021-22,New York Knicks,-2.6
2021-22,Oklahoma City Thunder,-2.5
2021-22,Orlando Magic,-1.6
2021-22,Philadelphia 76ers,2.2
2021-22,Phoenix Suns,9.7
2021-22,Portland Trail Blazers,-14.9
2021-22,Sacramento Kings,-5.6
2021-22,San Antonio Spurs,2.2
2021-22,Toronto Raptors,4.6
2021-22,Utah Jazz,3.7
2021-22,Washington Wizards,4.9
2022-23,Atlanta Hawks,-4.6
2022-23,Boston Celtics,2.7
2022-23,Brooklyn Nets,3.4
2022-23,Charlotte Hornets,-3.0
2022-23,Chicago Bulls,2.7
2022-23,Cleveland Cavaliers,11.0
2022-23,Dallas Mavericks,-1.8
2022-23,Denver Nuggets,-2.6
2022-23,Detroit Pistons,-8.3
2022-23,Golden State Warriors,2.3
2022-23,Houston Rockets,-8.1
2022-23,Indiana Pacers,0.2
2022-23,LA Clippers,2.9
2022-23,Los Angeles Lakers,8.7
2022-23,Memphis Grizzlies,-5.8
2022-23,Miami Heat,6.5
2022-23,Milwaukee Bucks,3.4
2022-23,Minnesota Timberwolves,-2.2
2022-23,New Orleans Pelicans,2.6
2022-23,New York Knicks,0.6
2022-23,Oklahoma City Thunder,-3.0
2022-23,Orlando Magic,2.5
2022-23,Philadelphia 76ers,10.1
2022-23,Phoenix Suns,-1.6
2022-23,Portland Trail Blazers,-6.3
2022-23,Sacramento Kings,7.0
2022-23,San Antonio Spurs,-16.9
2022-23,Toronto Raptors,0.4
2022-23,Utah Jazz,-0.9
2022-23,Washington Wizards,-0.6
2023-24,Atlanta Hawks,-5.0
2023-24,Boston Celtics,7.2
2023-24,Brooklyn Nets,-1.3
2023-24,Charlotte Hornets,-2.7
2023-24,Chicago Bulls,2.0
2023-24,Cleveland Cavaliers,0.4
2023-24,Dallas Mavericks,3.6
2023-24,Denver Nuggets,3.3
2023-24,Detroit Pistons,-6.1
2023-24,Golden State Warriors,-1.9
2023-24,Houston Rockets,-0.0
2023-24,Indiana Pacers,2.6
2023-24,LA Clippers,0.7
2023-24,Los Angeles Lakers,1.9
2023-24,Memphis Grizzlies,1.1
2023-24,Miami Heat,-5.5
2023-24,Milwaukee Bucks,0.8
2023-24,Minnesota Timberwolves,6.7
2023-24,New Orleans Pelicans,-0.2
2023-24,New York Knicks,4.1
2023-24,Oklahoma City Thunder,3.3
2023-24,Orlando Magic,3.8
2023-24,Philadelphia 76ers,2.4
2023-24,Phoenix Suns,-9.9
2023-24,Portland Trail Blazers,-3.2
2023-24,Sacramento Kings,-2.9
2023-24,San Antonio Spurs,-0.6
2023-24,Toronto Raptors,-3.8
2023-24,Utah Jazz,1.0
2023-24,Washington Wizards,-1.2
2024-25,Atlanta Hawks,5.3
2024-25,Boston Celtics,3.8
2024-25,Brooklyn Nets,-7.5
2024-25,Charlotte Hornets,-5.8
2024-25,Chicago Bulls,1.9
2024-25,Cleveland Cavaliers,11.6
2024-25,Dallas Mavericks,1.5
2024-25,Denver Nuggets,1.3
2024-25,Detroit Pistons,1.1
2024-25,Golden State Warriors,5.2
2024-25,Houston Rockets,-1.5
2024-25,Indiana Pacers,9.9
2024-25,LA Clippers,4.2
2024-25,Los Angeles Lakers,-2.2
2024-25,Memphis Grizzlies,0.2
