season,team,wins,losses,avg points scored,avg points allowed,offensive rating,defensive rating
2012-13,Milwaukee Bucks,38,44,98.9,100.4,102.5,104.2
2012-13,Minnesota Timberwolves,31,51,95.7,98.1,101.8,104.0
2012-13,New Orleans Hornets,27,55,94.1,97.9,104.5,108.9
2012-13,New York Knicks,54,28,100.0,95.7,109.8,105.4
2012-13,Oklahoma City Thunder,60,22,105.7,96.5,111.0,101.2
2012-13,Orlando Magic,20,62,94.1,101.1,100.9,108.4
2012-13,Philadelphia 76ers,34,48,93.2,96.5,101.0,104.7
2012-13,Phoenix Suns,25,57,95.2,101.6,100.2,106.9
2012-13,Portland Trail Blazers,33,49,97.5,100.7,104.5,107.9
2012-13,Sacramento Kings,28,54,100.2,105.1,105.3,110.0
2012-13,San Antonio Spurs,58,24,103.0,96.6,107.0,100.3
2012-13,Toronto Raptors,34,48,97.2,98.7,105.0,106.4
2012-13,Utah Jazz,43,39,98.0,98.1,105.4,105.6
2012-13,Washington Wizards,29,53,93.2,95.8,99.3,101.6
2013-14,Atlanta Hawks,38,44,101.0,101.5,104.9,105.7
2013-14,Boston Celtics,25,57,96.2,100.7,101.9,106.5
2013-14,Brooklyn Nets,44,38,98.5,99.5,105.4,106.7
2013-14,Charlotte Bobcats,43,39,96.9,97.1,103.0,103.3
2013-14,Chicago Bulls,48,34,93.7,91.8,101.7,99.9
2013-14,Cleveland Cavaliers,33,49,98.2,101.5,103.5,107.0
2013-14,Dallas Mavericks,49,33,104.8,102.4,109.5,107.2
2013-14,Denver Nuggets,36,46,104.4,106.5,105.1,107.3
2013-14,Detroit Pistons,29,53,101.0,104.7,105.2,109.0
2013-14,Golden State Warriors,51,31,104.3,99.5,106.3,101.4
2013-14,Houston Rockets,54,28,107.7,103.1,109.8,105.2
2013-14,Indiana Pacers,56,26,96.7,92.3,103.6,98.9
2013-14,Los Angeles Clippers,57,25,107.9,101.0,111.3,104.0
2013-14,Los Angeles Lakers,27,55,103.0,109.2,103.2,109.3
2013-14,Memphis Grizzlies,50,32,96.1,94.6,105.5,103.8
