8.237,12.235
-8.99,4.778
10.572,1.529
8.545,-0.025
3.688,3.61
9.025,-10.401
-13.232,-1.67
8.049,-12.248
-4.693,18.131
5.952,-3.481
7.881,6.46
4.316,5.452
-0.027,9.451
10.619,-12.496
5.796,8.652
-11.868,12.511
-12.378,-6.295
-7.281,-1.816
1.568,-1.901
5.871,-4.995
-9.7,-2.517
-1.939,2.37
-9.641,4.82
12.071,4.565
7.914,-9.625
-6.705,6.058
0.187,-6.816
-6.09,-0.304
-5.882,3.171
5.207,-5.558
12.235,3.226
4.778,6.472
1.529,17.692
-0.025,-6.647
3.61,7.902
-10.401,-6.411
-1.67,-13.614
-12.248,4.139
18.131,-1.808
-3.481,-0.955
6.46,0.091
5.452,10.494
9.451,-4.958
-12.496,0.994
8.652,-7.764
12.511,6.297
-6.295,7.645
-1.816,-16.965
-1.901,11.86
-4.995,-0.718
-2.517,5.648
2.37,-13.648
4.82,-6.951
4.565,4.674
-9.625,5.67
6.058,3.389
-6.816,-12.024
-0.304,-9.13
3.171,-9.049
-5.558,5.952
3.226,-22.915
6.472,22.423
17.692,1.696
-6.647,-0.185
7.902,0.094
-6.411,11.378
-13.614,-10.194
4.139,-10.476
-1.808,-5.142
-0.955,-4.8
0.091,-4.493
10.494,-16.781
-4.958,4.955
0.994,-5.938
-7.764,11.094
6.297,1.11
7.645,-0.25
-16.965,0.757
11.86,9.983
-0.718,9.016
5.648,3.746
-13.648,5.162
-6.951,4.923
4.674,8.505
5.67,-8.258
3.389,-8.977
-12.024,2.137
-9.13,11.099
-9.049,4.366
5.952,2.166
-22.915,3.119
22.423,23.635
1.696,12.245
-0.185,-1.171
0.094,-4.318
11.378,-13.732
-10.194,-14.774
-10.476,-2.885
-5.142,-11.672
-4.8,10.494
-4.493,-17.532
-16.781,1.52
4.955,-5.789
-5.938,-13.839
11.094,-0.198
1.11,12.808
-0.25,-9.885
0.757,10.669
9.983,12.38
9.016,0.129
3.746,0.223
5.162,-2.466
4.923,4.265
8.505,4.606
-8.258,-0.944
-8.977,3.439
2.137,-12.134
11.099,-2.887
4.366,2.516
2.166,-2.442
3.119,0.88
23.635,15.861
12.245,15.963
-1.171,3.133
-4.318,-1.147
-13.732,-15.625
-14.774,6.252
-2.885,-16.877
-11.672,21.429
10.494,-1.069
-17.532,0.667
1.52,-1.222
-5.789,2.38
-13.839,3.538
-0.198,-15.664
12.808,12.14
-9.885,6.313
4.606,-9.276
10.669,-0.333
12.38,-13.085
0.129,0.926
0.223,1.121
-2.466,-12.1
4.265,-18.34
-0.944,14.562
3.439,-10.35
-12.134,-3.652
-2.887,9.797
2.516,-5.669
-2.442,11.927
0.88,9.995
15.861,18.211
15.963,25.149
3.133,0.771
-1.147,-0.517
-15.625,4.086
6.252,-14.861
-16.877,-7.127
21.429,2.127
-1.069,3.048
0.667,-9.323
-1.222,2.963
2.38,-3.676
3.538,-31.971
-15.664,0.661
12.14,9.544
6.313,-5.009
-9.276,9.975
-0.333,-5.526
-13.085,-11.858
0.926,1.182
1.121,11.527
-12.1,-13.125
-18.34,1.472
14.562,-13.424
-10.35,10.345
-3.652,-7.81
9.797,14.24
-5.669,-1.802
11.927,-18.338
9.995,4.519
18.211,4.577
25.149,1.152
0.771,-5.282
-0.517,-3.826
4.086,-14.213
-14.861,6.385
-7.127,18.06
2.127,-3.739
3.048,17.598
-9.323,10.757
2.963,3.971
-3.676,-11.407
-31.971,-1.066
0.661,-11.077
9.544,-7.911
-5.009,2.903
9.975,-0.793
-5.526,14.325
-11.858,-19.129
1.182,-14.361
11.527,-2.775
-13.125,13.311
1.472,8.101
-13.424,-22.161
