season,season_start_year,franchise_id,team,all_games,all_minutes,all_possessions,all_opp_possessions,all_pts,all_opp_pts,all_off_rating,all_def_rating,all_net_rating,clutch_games,clutch_minutes,clutch_possessions,clutch_opp_possessions,clutch_pts,clutch_opp_pts,clutch_off_rating,clutch_def_rating,clutch_net_rating,non_clutch_games,non_clutch_minutes,non_clutch_possessions,non_clutch_opp_possessions,non_clutch_pts,non_clutch_opp_pts,non_clutch_off_rating,non_clutch_def_rating,non_clutch_net_rating,clutch_minus_non_clutch_net,clutch_minus_all_net,clutch_time_pct,clutch_poss_pct
2019-20,2019,1610612759,SAS,71,17215.0,7249.0,7261.0,8098.0,8177.0,111.712,112.615,-0.903,45,791.0,364.0,368.0,383.0,412.0,105.22,111.957,-6.737,71,16424.0,6885.0,6893.0,7715.0,7765.0,112.055,112.651,-0.595,-6.141,-5.833,4.595,5.021
2019-20,2019,1610612761,TOR,72,17380.0,7328.0,7327.0,8118.0,7669.0,110.781,104.668,6.113,37,598.0,281.0,272.0,332.0,265.0,118.149,97.426,20.723,72,16782.0,7047.0,7055.0,7786.0,7404.0,110.487,104.947,5.54,15.183,14.61,3.441,3.835
2019-20,2019,1610612762,UTA,72,17355.0,7169.0,7170.0,8013.0,7835.0,111.773,109.275,2.498,41,660.0,321.0,303.0,362.0,304.0,112.773,100.33,12.443,72,16695.0,6848.0,6867.0,7651.0,7531.0,111.726,109.669,2.057,10.386,9.944,3.803,4.478
2019-20,2019,1610612764,WAS,72,17355.0,7475.0,7476.0,8238.0,8574.0,110.207,114.687,-4.48,35,474.0,207.0,224.0,216.0,268.0,104.348,119.643,-15.295,72,16881.0,7268.0,7252.0,8022.0,8306.0,110.374,114.534,-4.16,-11.135,-10.815,2.731,2.769
2020-21,2020,1610612737,ATL,72,17405.0,7160.0,7153.0,8186.0,8019.0,114.33,112.107,2.223,36,585.0,262.0,268.0,298.0,303.0,113.74,113.06,0.681,72,16820.0,6898.0,6885.0,7888.0,7716.0,114.352,112.07,2.282,-1.602,-1.542,3.361,3.659
2020-21,2020,1610612751,BKN,72,17405.0,7280.0,7264.0,8537.0,8213.0,117.266,113.064,4.202,39,662.0,317.0,311.0,359.0,322.0,113.249,103.537,9.712,72,16743.0,6963.0,6953.0,8178.0,7891.0,117.449,113.491,3.959,5.753,5.51,3.804,4.354
2020-21,2020,1610612738,BOS,72,17380.0,7172.0,7158.0,8109.0,8004.0,113.065,111.819,1.246,43,689.0,326.0,339.0,331.0,381.0,101.534,112.389,-10.856,72,16691.0,6846.0,6819.0,7778.0,7623.0,113.614,111.791,1.823,-12.679,-12.101,3.964,4.545
2020-21,2020,1610612766,CHA,72,17355.0,7159.0,7159.0,7881.0,8020.0,110.085,112.027,-1.942,31,477.0,221.0,207.0,270.0,212.0,122.172,102.415,19.756,72,16878.0,6938.0,6952.0,7611.0,7808.0,109.7,112.313,-2.613,22.369,21.698,2.748,3.087
2020-21,2020,1610612741,CHI,72,17380.0,7220.0,7203.0,7969.0,8033.0,110.374,111.523,-1.149,35,565.0,281.0,277.0,301.0,319.0,107.117,115.162,-8.045,72,16815.0,6939.0,6926.0,7668.0,7714.0,110.506,111.377,-0.872,-7.173,-6.896,3.251,3.892
2020-21,2020,1610612739,CLE,72,17430.0,7107.0,7122.0,7476.0,8084.0,105.192,113.507,-8.315,26,489.0,216.0,219.0,214.0,233.0,99.074,106.393,-7.319,72,16941.0,6891.0,6903.0,7262.0,7851.0,105.384,113.733,-8.349,1.031,0.997,2.806,3.039
