team,games,off_rating,def_rating,net_rating,games_opp_off_rating_opp_gt_115,games_opp_off_rating_opp_lte_115,games_opp_def_rating_opp_gt_115,games_opp_def_rating_opp_lte_115,off_rating_opp_off_rating_opp_gt_115,off_rating_opp_off_rating_opp_lte_115,off_rating_opp_def_rating_opp_gt_115,off_rating_opp_def_rating_opp_lte_115,def_rating_opp_off_rating_opp_gt_115,def_rating_opp_off_rating_opp_lte_115,def_rating_opp_def_rating_opp_gt_115,def_rating_opp_def_rating_opp_lte_115,net_rating_opp_off_rating_opp_gt_115,net_rating_opp_off_rating_opp_lte_115,net_rating_opp_def_rating_opp_gt_115,net_rating_opp_def_rating_opp_lte_115
HOU,82,117.49564784879382,112.13175885643255,5.363888992361268,35.0,47.0,41.0,41.0,113.5413600235502,120.38751345532832,119.98014395631671,115.00124595066035,114.20571765399352,110.61908856405847,112.94642857142858,111.31323199601295,-0.6643576304433196,9.768424891269845,7.033715384888126,3.6880139546474027
IND,82,110.75204228736185,118.6066066066066,-7.8545643192447585,40.0,42.0,31.0,51.0,110.7759669180248,110.72869689057678,111.68831168831169,110.17998838784595,119.96105160662123,117.2871709746265,115.97595697564063,120.21688613477923,-9.185084688596419,-6.55847408404972,-4.287645287328942,-10.036897746933278
LAC,82,116.33620152138671,115.20518897343146,1.131012547955251,35.0,47.0,36.0,46.0,115.54312628790109,116.91908264820424,118.14628699050809,114.87491548343476,118.51633794524581,112.77056277056276,113.45616973757677,116.61781285231116,-2.97321165734472,4.148519877641476,4.690117252931316,-1.742897368876399
LAL,82,118.46516826027566,116.9529499626587,1.512218297616954,35.0,47.0,36.0,46.0,113.09765285424515,122.49022164276401,125.0779257580051,113.30680813439433,119.8195576251455,114.81078729882557,115.84018135449136,117.82463928967815,-6.721904770900352,7.679434343938439,9.23774440351373,-4.517831155283815
MEM,82,112.40884638374177,118.44404548174745,-6.035199098005677,40.0,42.0,37.0,45.0,110.70101560564775,114.0018484288355,116.0719006079831,109.38454823221299,120.75378130424002,116.2887552059232,115.40905480540111,120.94801223241589,-10.052765698592268,-2.286906777087694,0.6628458025819839,-11.563464000202899
MIA,82,115.82330255930817,113.72411372411374,2.0991888351944397,37.0,45.0,33.0,49.0,117.31070496083551,114.61815104717581,118.84681583476764,113.7448235062118,117.96548117154812,110.2900698708448,109.68203953022058,116.51503164556962,-0.6547762107126118,4.328081176331011,9.164776304547061,-2.7702081393578197
MIL,82,113.52771868351897,119.68769519050593,-6.159976506986965,39.0,43.0,32.0,50.0,111.20780590717298,115.6227673255537,117.67937944408533,110.90463549111702,120.62072593371909,118.84368308351179,117.4095607235142,121.12446526787532,-9.412920026546104,-3.220915757958096,0.26981872057112355,-10.219829776758303
MIN,82,117.08615682478218,113.92389723703344,3.1622595877487356,35.0,47.0,41.0,41.0,114.17188389299943,119.24210526315791,121.06543420092434,113.14712256200336,115.90909090909092,112.44716821639899,114.78770131771596,113.07173808377466,-1.7372070160914888,6.794937046758918,6.277732883208387,0.07538447822869898
NOP,82,114.74079457364341,119.16696936675142,-4.426174793108004,40.0,42.0,36.0,46.0,113.3502538071066,116.01019462465246,115.80645161290322,113.8668430335097,123.49061390157281,115.21890201528839,115.29348411416262,122.33223322332233,-10.140360094466217,0.7912926093640635,0.5129674987405934,-8.465390189812638
NYK,82,118.68008948545861,112.31343283582089,6.366656649637719,35.0,47.0,34.0,48.0,115.78330893118593,120.81623839343554,122.25844694724364,116.09589041095892,115.41166129504833,110.02809595850442,110.02967359050446,113.96145610278371,0.3716476361375953,10.788142434931117,12.228773356739183,2.1344343081752015
