season,phase,game_id,home_team,road_team,source_consistent_mismatch,parser_diff_stats,source_consistent_diff_stats,output_file
2003-04,playoffs,0040300304,DET,IND,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/playoffs/2003-04/2003-04_DET_IND_0040300304.json
2003-04,playoffs,0040300306,DET,IND,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/playoffs/2003-04/2003-04_DET_IND_0040300306.json
2003-04,playoffs,0040300312,MIN,LAL,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/playoffs/2003-04/2003-04_MIN_LAL_0040300312.json
2003-04,playoffs,0040300402,LAL,DET,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/playoffs/2003-04/2003-04_LAL_DET_0040300402.json
2003-04,regular,0020300001,PHI,MIA,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/regular/2003-04/2003-04_PHI_MIA_0020300001.json
2003-04,regular,0020300006,NOH,ATL,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/regular/2003-04/2003-04_NOH_ATL_0020300006.json
2003-04,regular,0020300008,DET,IND,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/regular/2003-04/2003-04_DET_IND_0020300008.json
2003-04,regular,0020300011,DEN,SAS,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/regular/2003-04/2003-04_DEN_SAS_0020300011.json
2003-04,regular,0020300018,PHX,CLE,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/regular/2003-04/2003-04_PHX_CLE_0020300018.json
2003-04,regular,0020300021,IND,MIL,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/regular/2003-04/2003-04_IND_MIL_0020300021.json
2003-04,regular,0020300023,MEM,BOS,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/regular/2003-04/2003-04_MEM_BOS_0020300023.json
2003-04,regular,0020300026,SAC,PHI,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/regular/2003-04/2003-04_SAC_PHI_0020300026.json
2003-04,regular,0020300028,ORL,DET,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/regular/2003-04/2003-04_ORL_DET_0020300028.json
2003-04,regular,0020300031,MIN,TOR,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/regular/2003-04/2003-04_MIN_TOR_0020300031.json
2003-04,regular,0020300032,MIL,CHI,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/regular/2003-04/2003-04_MIL_CHI_0020300032.json
2003-04,regular,0020300034,HOU,MEM,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/regular/2003-04/2003-04_HOU_MEM_0020300034.json
2003-04,regular,0020300039,GSW,PHI,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/regular/2003-04/2003-04_GSW_PHI_0020300039.json
2003-04,regular,0020300040,LAL,GSW,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/regular/2003-04/2003-04_LAL_GSW_0020300040.json
2003-04,regular,0020300048,IND,DEN,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/regular/2003-04/2003-04_IND_DEN_0020300048.json
2003-04,regular,0020300053,WAS,DAL,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/regular/2003-04/2003-04_WAS_DAL_0020300053.json
2003-04,regular,0020300054,ORL,CHI,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/regular/2003-04/2003-04_ORL_CHI_0020300054.json
2003-04,regular,0020300057,CLE,DEN,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/regular/2003-04/2003-04_CLE_DEN_0020300057.json
2003-04,regular,0020300059,UTA,PHX,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/regular/2003-04/2003-04_UTA_PHX_0020300059.json
2003-04,regular,0020300064,SAS,LAL,True,,tov,/Users/robschoen/Dropbox/CC/GLA/data/pbp/processed/game_states/regular/2003-04/2003-04_SAS_LAL_0020300064.json
